,Day,Plot,Treatment,Daily_mean,Weekly_average,Average_per_plot,,,,Week,Site,Treatment,Weekly_average
218,06/07/2016,2,"Saturated, no cover",15.10416667,,,,,,,,,
219,06/07/2016,3,"Nothing, disturbed, no cover",14.95833333,,,,,,,,,
220,06/07/2016,4,"Nothing, disturbed, cover",16.52083333,,,,,,,,,
221,06/07/2016,5,"Light water, no cover",15.72916667,,,,,,,,,
222,06/07/2016,6,"No water, cover",15.66666667,,,,,,,,,
223,07/07/2016,8,"No water, cover",14.875,,,,,,,,,
224,07/07/2016,9,"Saturated, no cover",14.6875,,,,,,,,,
225,07/07/2016,10,"Light water, no cover",16.27083333,16.47916667,,,,,,,,
226,07/07/2016,11,"Saturated, cover",13.91666667,16.34821429,,,,,,,,
227,07/07/2016,12,"No water, no cover",15.58333333,16.4672619,,,,,,,,
228,07/07/2016,13,"No water, no cover",16.02083333,16.50297619,,,,,,,,
229,07/07/2016,14,Ambient,15.14583333,16.47023809,,,,,,,,
230,07/07/2016,15,"Saturated, cover",15.52083333,16.56547619,,,,,,,,
231,07/07/2016,16,Ambient,15.125,16.6577381,,,,,,,,
232,07/07/2016,17,"Nothing, disturbed, cover",15.35416667,16.65178572,,,,,,,,
233,07/07/2016,18,"Nothing, disturbed, no cover",15.14583333,16.86309524,,,,,,,,
234,07/07/2016,2,"Saturated, no cover",15.47916667,17.15773809,,,,,,,,
235,07/07/2016,3,"Nothing, disturbed, no cover",16.64583333,16.92559524,,,,,,,,
236,07/07/2016,4,"Nothing, disturbed, cover",15.8125,16.61309524,,,,,,,,
237,07/07/2016,5,"Light water, no cover",16.10416667,16.80357143,,,,,,,,
238,08/07/2016,6,"No water, cover",16.08333333,16.74404762,,,,,,,,
239,08/07/2016,8,"No water, cover",15.54166667,16.76488095,,,,,,,,
240,08/07/2016,9,"Saturated, no cover",17.52083333,16.96130952,,,,,,,,
241,08/07/2016,10,"Light water, no cover",14.89583333,,,,,,,,,
242,08/07/2016,11,"Saturated, cover",16.8125,,,,,,,,,
243,08/07/2016,12,"No water, no cover",17.22916667,,,,,,,,,
244,08/07/2016,13,"No water, no cover",16.47916667,,,,,,,,,
245,08/07/2016,14,Ambient,16.79166667,,,,,,,,,
246,08/07/2016,15,"Saturated, cover",16.1875,,,,,,,,,
247,08/07/2016,16,Ambient,16.52083333,,,,,,,,,
248,08/07/2016,17,"Nothing, disturbed, cover",16.35416667,,,,,,,,,
249,08/07/2016,18,"Nothing, disturbed, no cover",16.77083333,,,,,,,,,
250,08/07/2016,2,"Saturated, no cover",17.95833333,,,,,,,,,
251,08/07/2016,3,"Nothing, disturbed, no cover",16.875,,,,,,,,,
252,08/07/2016,4,"Nothing, disturbed, cover",17.35416667,,,,,,,,,
253,09/07/2016,5,"Light water, no cover",16.58333333,,,,,,,,,
254,09/07/2016,6,"No water, cover",16.58333333,,,,,,,,,
255,09/07/2016,8,"No water, cover",17.85416667,,,,,,,,,
256,09/07/2016,9,"Saturated, no cover",15.27083333,,,,,,,,,
257,09/07/2016,10,"Light water, no cover",17.85416667,,,,,,,,,
258,09/07/2016,11,"Saturated, cover",17.9375,,,,,,,,,
259,09/07/2016,12,"No water, no cover",17.20833333,,,,,,,,,
260,09/07/2016,13,"No water, no cover",17.54166667,,,,,,,,,
261,09/07/2016,14,Ambient,16.58333333,,,,,,,,,
262,09/07/2016,15,"Saturated, cover",16.95833333,,,,,,,,,
263,09/07/2016,16,Ambient,17.22916667,,,,,,,,,
264,09/07/2016,17,"Nothing, disturbed, cover",17.04166667,,,,,,,,,
265,09/07/2016,18,"Nothing, disturbed, no cover",18.9375,,,,,,,,,
266,09/07/2016,2,"Saturated, no cover",17.89583333,,,,,,,,,
267,09/07/2016,3,"Nothing, disturbed, no cover",17.77083333,,,,,,,,,
268,10/07/2016,4,"Nothing, disturbed, cover",14.75,,,,,,,,,
269,10/07/2016,5,"Light water, no cover",15.35416667,,,,,,,,,
270,10/07/2016,6,"No water, cover",15.25,,,,,,,,,
271,10/07/2016,8,"No water, cover",13.79166667,,,,,,,,,
272,10/07/2016,9,"Saturated, no cover",16.08333333,,,,,,,,,
273,10/07/2016,10,"Light water, no cover",15.4375,,,,,,,,,
274,10/07/2016,11,"Saturated, cover",15.08333333,,,,,,,,,
275,10/07/2016,12,"No water, no cover",15.3125,,,,,,,,,
276,10/07/2016,13,"No water, no cover",14.58333333,,,,,,,,,
277,10/07/2016,14,Ambient,14.625,,,,,,,,,
278,10/07/2016,15,"Saturated, cover",14.95833333,,,,,,,,,
279,10/07/2016,16,Ambient,14.70833333,,,,,,,,,
280,10/07/2016,17,"Nothing, disturbed, cover",15.9375,,,,,,,,,
281,10/07/2016,18,"Nothing, disturbed, no cover",15.83333333,,,,,,,,,
282,10/07/2016,2,"Saturated, no cover",15.64583333,,,,,,,,,
283,11/07/2016,3,"Nothing, disturbed, no cover",15.4375,,,,,,,,,
284,11/07/2016,4,"Nothing, disturbed, cover",14.89583333,,,,,,,,,
285,11/07/2016,5,"Light water, no cover",16.66666667,,,,,,,,,
286,11/07/2016,6,"No water, cover",14.75,,,,,,,,,
287,11/07/2016,8,"No water, cover",16.20833333,,,,,,,,,
288,11/07/2016,9,"Saturated, no cover",16.33333333,,,,,,,,,
289,11/07/2016,10,"Light water, no cover",15.875,,,,,,,,,
290,11/07/2016,11,"Saturated, cover",16.10416667,,,,,,,,,
291,11/07/2016,12,"No water, no cover",15.52083333,,,,,,,,,
292,11/07/2016,13,"No water, no cover",16.125,,,,,,,,,
