"","Day","Plot","Daily_mean","Treatment"
"384",2016-07-05,"17",15.5416666666667,"7"
"385",2016-07-06,"17",14.8958333333333,"7"
"386",2016-07-07,"17",15.1458333333333,"7"
"387",2016-07-08,"17",16.4791666666667,"7"
"388",2016-07-09,"17",17.2083333333333,"7"
"389",2016-07-10,"17",15.0833333333333,"7"
"390",2016-07-11,"17",15.875,"7"
"391",2016-07-12,"17",17.2708333333333,"7"
"392",2016-07-13,"17",17.7916666666667,"7"
"393",2016-07-14,"17",18.4375,"7"
"394",2016-07-15,"17",18.0416666666667,"7"
"395",2016-07-16,"17",18.1666666666667,"7"
"396",2016-07-17,"17",19.1458333333333,"7"
"397",2016-07-18,"17",18.9375,"7"
"398",2016-07-19,"17",16.5416666666667,"7"
"399",2016-07-20,"17",15.75,"7"
"400",2016-07-21,"17",14.3333333333333,"7"
"401",2016-07-22,"17",14.7708333333333,"7"
"402",2016-07-23,"17",12.9791666666667,"7"
"403",2016-07-24,"17",14.2083333333333,"7"
"404",2016-07-25,"17",15.0416666666667,"7"
"405",2016-07-26,"17",14.8958333333333,"7"
"406",2016-07-27,"17",14.5833333333333,"7"
"407",2016-07-28,"17",16.1458333333333,"7"
"408",2016-07-29,"17",15.7083333333333,"7"
"409",2016-07-30,"17",14.4375,"7"
"410",2016-07-31,"17",14.7291666666667,"7"
"411",2016-08-01,"17",15.9166666666667,"7"
"412",2016-08-02,"17",15.0416666666667,"7"
"413",2016-08-03,"17",13.6041666666667,"7"
"414",2016-08-04,"17",14.5625,"7"
"415",2016-08-05,"17",14.2083333333333,"7"
"416",2016-08-06,"17",15.7916666666667,"7"
"417",2016-08-07,"17",15.3958333333333,"7"
"418",2016-08-08,"17",15.875,"7"
"419",2016-08-09,"17",15.5833333333333,"7"
"420",2016-08-10,"17",14.8125,"7"
"421",2016-08-11,"17",14.3333333333333,"7"
"422",2016-08-12,"17",13.2916666666667,"7"
"423",2016-08-13,"17",13.125,"7"
"424",2016-08-14,"17",13.0833333333333,"7"
"425",2016-06-23,"18",16.5,"8"
"426",2016-06-24,"18",15.8125,"8"
"427",2016-06-25,"18",14.875,"8"
"428",2016-06-26,"18",14.8541666666667,"8"
"429",2016-06-27,"18",15.2916666666667,"8"
"430",2016-06-28,"18",15.2083333333333,"8"
"431",2016-06-29,"18",15.3541666666667,"8"
"432",2016-06-30,"18",14.6458333333333,"8"
"433",2016-07-01,"18",13.5833333333333,"8"
"434",2016-07-02,"18",13.2083333333333,"8"
"435",2016-07-03,"18",11.3541666666667,"8"
"436",2016-07-04,"18",13.7708333333333,"8"
"437",2016-07-05,"18",15.4375,"8"
"438",2016-07-06,"18",15.3125,"8"
"439",2016-07-07,"18",15.5208333333333,"8"
"440",2016-07-08,"18",16.7916666666667,"8"
"441",2016-07-09,"18",17.5416666666667,"8"
"442",2016-07-10,"18",15.3125,"8"
"443",2016-07-11,"18",16.1041666666667,"8"
"444",2016-07-12,"18",17.5208333333333,"8"
"445",2016-07-13,"18",18.125,"8"
"446",2016-07-14,"18",18.5208333333333,"8"
"447",2016-07-15,"18",17.8541666666667,"8"
"448",2016-07-16,"18",17.9166666666667,"8"
"449",2016-07-17,"18",19.2083333333333,"8"
"450",2016-07-18,"18",18.8958333333333,"8"
"451",2016-07-19,"18",16.3541666666667,"8"
"452",2016-07-20,"18",15.2291666666667,"8"
"453",2016-07-21,"18",13.6666666666667,"8"
"454",2016-07-22,"18",14.1666666666667,"8"
"455",2016-07-23,"18",12.4166666666667,"8"
"456",2016-07-24,"18",13.5208333333333,"8"
"457",2016-07-25,"18",14.2083333333333,"8"
"458",2016-07-26,"18",14.4166666666667,"8"
"459",2016-07-27,"18",14.2083333333333,"8"
"460",2016-07-28,"18",16,"8"
"461",2016-07-29,"18",15.4583333333333,"8"
"462",2016-07-30,"18",14.1041666666667,"8"
"463",2016-07-31,"18",14.3125,"8"
"464",2016-08-01,"18",16.0208333333333,"8"
"465",2016-08-02,"18",14.8958333333333,"8"
"466",2016-08-03,"18",13.7083333333333,"8"
"467",2016-08-04,"18",14.2708333333333,"8"
"468",2016-08-05,"18",14.25,"8"
"469",2016-08-06,"18",15.8541666666667,"8"
"470",2016-08-07,"18",15.375,"8"
"471",2016-08-08,"18",16.3125,"8"
"472",2016-08-09,"18",15.7291666666667,"8"
"473",2016-08-10,"18",15.1041666666667,"8"
"474",2016-08-11,"18",14.5416666666667,"8"
"475",2016-08-12,"18",13.5,"8"
"476",2016-08-13,"18",13.2291666666667,"8"
"477",2016-08-14,"18",13.1666666666667,"8"
"478",2016-06-23,"2",15,"2"
"479",2016-06-24,"2",14.6458333333333,"2"
